"","HHSTFIPS","tot_w_age","tot_w","avg_age"
"1","01",8149263.80257285,798502.4944318,10.21
"2","04",21182131.9138667,2502638.79162757,8.46
"3","05",163301.0091812,14383.616536,11.35
"4","06",161816545.946384,16579112.0292685,9.76
"5","08",19680619.9492885,1991202.199128,9.88
"6","09",6573278.66002201,788210.12779038,8.34
"7","10",2252335.86944421,327920.65595004,6.87
"8","11",1741244.12429375,211527.038433587,8.23
"9","12",53708871.6572374,6848143.13738634,7.84
"10","13",30076756.2360158,3450317.97229503,8.72
"11","17",40868454.9098094,5420316.5315933,7.54
"12","18",17300905.487119,1929280.2525933,8.97
"13","20",5746433.6815464,607667.105149,9.46
"14","21",9312718.9481063,1053953.19557625,8.84
"15","22",5679040.86761591,633090.66700419,8.97
"16","24",25435912.9186155,3116054.28164885,8.16
"17","25",20048852.9477063,2706710.1441131,7.41
"18","26",22476271.7245566,2888702.37811026,7.78
"19","27",20263059.3325595,2282161.68450403,8.88
"20","28",2336894.3367361,222210.3825007,10.52
"21","29",20636021.4661085,2270223.38209554,9.09
"22","32",12566195.2042726,1259974.33433764,9.97
"23","33",2314780.12962716,273951.35999802,8.45
"24","34",33686225.2581111,4560855.70379649,7.39
"25","36",43438366.6747208,5681713.05388746,7.65
"26","37",17043959.933002,1854915.31032635,9.19
"27","39",31869368.8103216,3695351.35641541,8.62
"28","40",8419972.9719442,860773.5253849,9.78
"29","41",12274408.7674467,1120084.21568712,10.96
"30","42",32627156.4936134,3656292.97190305,8.92
"31","44",5497938.0946899,678510.40331749,8.1
"32","45",1491931.71965032,161276.334549556,9.25
"33","47",15287609.0533889,1765500.81586148,8.66
"34","48",79761586.8229458,9741902.97244101,8.19
"35","49",9021188.94416875,781400.706545,11.54
"36","51",34626509.1076728,3837175.86117624,9.02
"37","53",31766252.7101555,2985548.46592635,10.64
"38","54",653892.4598276,62884.0695136,10.4
"39","55",9907303.14869256,1196242.94592622,8.28
